SEGFORMER TRAINING RESULTS
=================================================================

Best Val IoU  : 0.4735
Best Val Dice : 0.6539  (Epoch 20)
Best Val Acc  : 0.8499  (Epoch 20)
Lowest Val Loss: 0.8105  (Epoch 20)

 Ep   TrLoss    VLoss   TrIoU    VIoU  TrDice   VDice   TrAcc    VAcc
----------------------------------------------------------------------
  1   1.6232   1.1436  0.2161  0.3182  0.3340  0.4877  0.6439  0.7782
  2   1.2976   1.0565  0.2655  0.3413  0.3853  0.5002  0.7037  0.7988
  3   1.2355   1.0118  0.2811  0.3526  0.3951  0.5053  0.7179  0.8038
  4   1.1359   0.9329  0.3092  0.3897  0.4162  0.5522  0.7456  0.8252
  5   1.0522   0.9008  0.3401  0.4131  0.4542  0.5818  0.7679  0.8335
  6   1.0153   0.8787  0.3569  0.4191  0.4788  0.5922  0.7773  0.8381
  7   0.9874   0.8683  0.3688  0.4309  0.4940  0.6055  0.7845  0.8408
  8   0.9657   0.8613  0.3768  0.4358  0.5043  0.6122  0.7901  0.8419
  9   0.9524   0.8534  0.3856  0.4412  0.5179  0.6180  0.7941  0.8436
 10   0.9439   0.8453  0.3875  0.4451  0.5195  0.6218  0.7969  0.8446
 11   0.9328   0.8348  0.3940  0.4556  0.5286  0.6346  0.7986  0.8460
 12   0.9232   0.8270  0.4008  0.4617  0.5369  0.6402  0.8008  0.8484
 13   0.9142   0.8243  0.4043  0.4661  0.5401  0.6460  0.8024  0.8483
 14   0.9094   0.8213  0.4051  0.4648  0.5419  0.6422  0.8041  0.8488
 15   0.9003   0.8186  0.4123  0.4697  0.5497  0.6493  0.8049  0.8490
 16   0.8997   0.8150  0.4106  0.4707  0.5470  0.6509  0.8058  0.8487
 17   0.9010   0.8120  0.4112  0.4720  0.5488  0.6515  0.8057  0.8498
 18   0.8920   0.8118  0.4155  0.4719  0.5543  0.6527  0.8078  0.8496
 19   0.8913   0.8146  0.4171  0.4732  0.5565  0.6530  0.8075  0.8496
 20   0.8948   0.8105  0.4147  0.4735  0.5531  0.6539  0.8066  0.8499
