SEGFORMER TRAINING RESULTS
=================================================================

Best Val IoU  : 0.5633
Best Val Dice : 0.7646  (Epoch 20)
Best Val Acc  : 0.8707  (Epoch 17)
Lowest Val Loss: 0.5961  (Epoch 20)

 Ep   TrLoss    VLoss   TrIoU    VIoU  TrDice   VDice   TrAcc    VAcc
----------------------------------------------------------------------
  1   1.4235   1.0069  0.2556  0.3831  0.4119  0.5822  0.6726  0.8162
  2   1.2017   0.9605  0.3049  0.4076  0.4657  0.6099  0.7277  0.8250
  3   1.1558   0.9342  0.3200  0.4116  0.4788  0.6069  0.7421  0.8327
  4   1.0061   0.7781  0.3648  0.4606  0.5272  0.6709  0.7774  0.8441
  5   0.8660   0.7328  0.4039  0.4883  0.5748  0.6945  0.8004  0.8549
  6   0.8187   0.7027  0.4304  0.5079  0.6063  0.7168  0.8109  0.8582
  7   0.7884   0.6684  0.4459  0.5158  0.6253  0.7211  0.8182  0.8603
  8   0.7615   0.6537  0.4590  0.5297  0.6402  0.7353  0.8226  0.8628
  9   0.7479   0.6423  0.4670  0.5375  0.6486  0.7424  0.8257  0.8655
 10   0.7337   0.6362  0.4741  0.5435  0.6562  0.7480  0.8277  0.8658
 11   0.7289   0.6311  0.4791  0.5448  0.6611  0.7478  0.8291  0.8665
 12   0.7208   0.6233  0.4819  0.5528  0.6646  0.7554  0.8302  0.8671
 13   0.7141   0.6158  0.4863  0.5537  0.6693  0.7559  0.8326  0.8693
 14   0.7105   0.6119  0.4890  0.5543  0.6723  0.7572  0.8329  0.8690
 15   0.7057   0.6078  0.4914  0.5566  0.6756  0.7578  0.8337  0.8702
 16   0.7015   0.6027  0.4933  0.5557  0.6773  0.7576  0.8347  0.8703
 17   0.6965   0.5989  0.4961  0.5606  0.6801  0.7616  0.8361  0.8707
 18   0.6966   0.5983  0.4980  0.5609  0.6821  0.7625  0.8356  0.8702
 19   0.6913   0.5974  0.4986  0.5617  0.6827  0.7626  0.8366  0.8705
 20   0.6916   0.5961  0.4986  0.5633  0.6814  0.7646  0.8365  0.8704
