SEGFORMER TRAINING RESULTS
=================================================================

Best Val IoU  : 0.4732
Best Val Dice : 0.6546  (Epoch 20)
Best Val Acc  : 0.8496  (Epoch 17)
Lowest Val Loss: 0.8116  (Epoch 19)

 Ep   TrLoss    VLoss   TrIoU    VIoU  TrDice   VDice   TrAcc    VAcc
----------------------------------------------------------------------
  1   1.6228   1.1587  0.2147  0.3230  0.3261  0.4983  0.6466  0.7793
  2   1.2934   1.0568  0.2668  0.3359  0.3849  0.4946  0.7080  0.7962
  3   1.2338   1.0222  0.2795  0.3490  0.3880  0.5052  0.7197  0.8032
  4   1.1292   0.9284  0.3114  0.3878  0.4175  0.5466  0.7481  0.8253
  5   1.0502   0.8994  0.3393  0.4147  0.4525  0.5891  0.7684  0.8327
  6   1.0112   0.8819  0.3568  0.4254  0.4776  0.6000  0.7794  0.8359
  7   0.9835   0.8722  0.3699  0.4333  0.4959  0.6104  0.7864  0.8383
  8   0.9627   0.8592  0.3789  0.4398  0.5062  0.6182  0.7921  0.8410
  9   0.9497   0.8538  0.3854  0.4437  0.5156  0.6233  0.7954  0.8429
 10   0.9329   0.8427  0.3914  0.4454  0.5213  0.6232  0.7987  0.8463
 11   0.9278   0.8374  0.3967  0.4543  0.5301  0.6329  0.8004  0.8458
 12   0.9139   0.8305  0.4035  0.4631  0.5383  0.6435  0.8033  0.8467
 13   0.9103   0.8269  0.4068  0.4636  0.5413  0.6449  0.8034  0.8470
 14   0.9028   0.8267  0.4093  0.4669  0.5445  0.6485  0.8052  0.8469
 15   0.8987   0.8193  0.4127  0.4678  0.5510  0.6493  0.8065  0.8480
 16   0.9004   0.8187  0.4119  0.4706  0.5490  0.6524  0.8066  0.8485
 17   0.8941   0.8124  0.4164  0.4717  0.5552  0.6530  0.8070  0.8496
 18   0.8940   0.8167  0.4152  0.4700  0.5533  0.6513  0.8081  0.8480
 19   0.8871   0.8116  0.4172  0.4732  0.5540  0.6543  0.8089  0.8491
 20   0.8881   0.8132  0.4173  0.4724  0.5550  0.6546  0.8088  0.8490
