SEGFORMER TRAINING RESULTS
=================================================================

Best Val IoU  : 0.5672
Best Val Dice : 0.7439  (Epoch 8)
Best Val Acc  : 0.8715  (Epoch 9)
Lowest Val Loss: 0.4993  (Epoch 9)

 Ep   TrLoss    VLoss   TrIoU    VIoU  TrDice   VDice   TrAcc    VAcc
----------------------------------------------------------------------
  1   0.7717   0.6598  0.4814  0.5520  0.6317  0.7293  0.8290  0.8680
  2   0.7609   0.6514  0.4859  0.5557  0.6379  0.7331  0.8319  0.8682
  3   0.7473   0.5891  0.4929  0.5553  0.6446  0.7329  0.8326  0.8685
  4   0.7132   0.5633  0.4945  0.5618  0.6487  0.7395  0.8336  0.8700
  5   0.6874   0.5142  0.4956  0.5589  0.6507  0.7375  0.8333  0.8691
  6   0.6716   0.5092  0.4980  0.5629  0.6518  0.7412  0.8338  0.8701
  7   0.6574   0.5035  0.5034  0.5672  0.6561  0.7438  0.8356  0.8705
  8   0.6506   0.5021  0.5047  0.5669  0.6593  0.7439  0.8357  0.8704
  9   0.6453   0.4993  0.5071  0.5665  0.6614  0.7417  0.8364  0.8715
